"Number of Hospitals and Beds Capacity (as of December 2022)"

"Geolocation";"Total Hospitals";"Government Hospitals";"Private Hospitals";"Total Hospitals - Bed Capacity";"Government Hospitals - Bed Capacity";"Private Hospitals - Bed Capacity"
"..NCR";160;49;111;29015;17208;11807
"..CAR";28;14;14;2106;1398;708
"..I - Ilocos Region";77;32;45;4433;2358;2075
"..II - Cagayan Valley";66;25;41;4190;2274;1916
"..III - Central Luzon";173;52;121;11244;4763;6481
"..IV-A CALABARZON";215;52;163;13207;3390;9817
"..MIMAROPA";27;16;11;1588;947;641
"..V - Bicol Region";55;22;33;3625;1725;1900
"..VI - Western Visayas";65;35;30;6606;3350;3256
"..VII - Central Visayas";60;22;38;7738;2701;5037
"..VIII - Eastern Visayas";52;24;28;3286;1773;1513
"..IX - Zamboanga Peninsula";42;12;30;2666;1286;1380
"..X - Northern Mindanao";74;22;52;5782;2464;3318
"..XI - Davao Region";60;12;48;6102;2195;3907
"..XII - SOCCSKSARGEN";81;17;64;5412;1453;3959
"..XIII - Caraga";23;12;11;1653;955;698
"..BARMM";26;16;10;1018;710;308
