NAME_1,NAME_2,LGU,EmploymentGeneration,EmployedPopulation
Quezon,Agdangan,Agdangan,0.3874,0.0499
Quezon,Alabat,Alabat,0.3382,0.0356
Quezon,Atimonan,Atimonan,0.1255,0.0224
Quezon,Buenavista,Buenavista,0.1,0.2261
Quezon,Burdeos,Burdeos,0.0685,0.0339
Quezon,Calauag,Calauag,0.0807,0.1906
Quezon,Candelaria,Candelaria,0.1922,0.6027
Quezon,Catanauan,Catanauan,0.0401,0.0316
Quezon,Dolores,Dolores,0.2874,0.074
Quezon,GeneralLuna,General Luna,1.3889,0.1711
Quezon,GeneralNakar,General Nakar,0.0242,0.0673
Quezon,Guinayangan,Guinayangan,0.3161,0.7227
Quezon,Gumaca,Gumaca,0.0899,0.0253
Quezon,Infanta,Infanta,0.0962,0.0116
Quezon,Jomalig,Jomalig,0.1812,0.0071
Quezon,Lopez,Lopez,0.392,0.043
Quezon,Lucban,Lucban,0.2067,0.1067
Quezon,LucenaCity,Lucena City,0.0583,0.136
Quezon,Macalelon,Macalelon,0.1441,0.1535
Quezon,Mauban,Mauban,0.0834,0.453
Quezon,Mulanay,Mulanay,0.035,1.8741
Quezon,PadreBurgos,Padre Burgos,0.1112,0.0189
Quezon,Pagbilao,Pagbilao,0.0507,0.1111
Quezon,Panukulan,Panukulan,0.12,0.0292
Quezon,Patnanungan,Patnanungan,0.0389,0.1768
Quezon,Perez,Perez,0.1956,0.1839
Quezon,Pitogo,Pitogo,0.1012,0.0067
Quezon,Plaridel,Plaridel,0.2516,0.0513
Quezon,Polillo,Polillo,0.2057,0.0054
Quezon,Quezon,Quezon,0.4537,0.3664
Quezon,Real,Real,0.0546,0.043
Quezon,Sampaloc,Sampaloc,0.4947,0.1411
Quezon,SanAndres,San Andres,0.1638,0.678
Quezon,SanAntonio,San Antonio,0.3304,0.1643
Quezon,SanFrancisco,San Francisco,0.0168,0.1251
Quezon,SanNarciso,San Narciso,0.1403,0.0285
Quezon,Sariaya,Sariaya,0.1835,0.0124
Quezon,Tagkawayan,Tagkawayan,0.0616,0.0114
Quezon,TayabasCity,Tayabas City,0.0326,0.0143
Quezon,Tiaong,Tiaong,0.8109,0.1181
Quezon,Unisan,Unisan,0.1487,0.1875
